county,State,Population_Estimate,Per_Age_over_65,M_per_100_F,Per_high_school_Degree,Per_Bachelor_Degree,Median_Income,Per_votes_Rep,Party_Gov,Voting_Behaviour
Shelby County,IN,44441,0.151,97.1,0.441,0.148,53584,0.71,Rep,Rep
Spencer County,IN,20856,0.171,102.5,0.436,0.15,55247,0.66,Rep,Rep
Starke County,IN,23117,0.164,97.2,0.423,0.116,42208,0.69,Rep,Rep
Steuben County,IN,34267,0.166,102.9,0.381,0.2,48472,0.7,Rep,Rep
Sullivan County,IN,21111,0.16,120.6,0.421,0.131,45023,0.72,Rep,Rep
Switzerland County,IN,10500,0.156,107.6,0.466,0.091,44061,0.7,Rep,Rep
Tippecanoe County,IN,180952,0.1,104.3,0.266,0.352,45932,0.5,Rep,Rep
Tipton County,IN,15573,0.189,99.7,0.405,0.194,51613,0.74,Rep,Rep
Union County,IN,7299,0.163,101.7,0.426,0.186,44277,0.74,Rep,Rep
Vanderburgh County,IN,181305,0.15,93.6,0.345,0.242,43046,0.56,Rep,Rep
Vermillion County,IN,15860,0.182,96.4,0.439,0.136,43600,0.65,Rep,Rep
Vigo County,IN,108268,0.142,103.1,0.336,0.224,40313,0.55,Rep,Rep
Wabash County,IN,32358,0.192,96.5,0.425,0.188,45649,0.73,Rep,Rep
Warren County,IN,8367,0.187,98.8,0.438,0.186,56042,0.74,Rep,Rep
Warrick County,IN,60995,0.153,97.9,0.338,0.27,62185,0.65,Rep,Rep
Washington County,IN,27930,0.15,98.6,0.459,0.123,41289,0.72,Rep,Rep
Wayne County,IN,67866,0.175,94.2,0.386,0.174,38494,0.63,Rep,Rep
Wells County,IN,27796,0.168,97.3,0.418,0.176,51101,0.76,Rep,Rep
White County,IN,24388,0.181,98.6,0.443,0.155,52154,0.69,Rep,Rep
Whitley County,IN,33330,0.156,100,0.423,0.184,54389,0.73,Rep,Rep
Adair County,IA,7426,0.225,97.6,0.447,0.153,46526,0.65,Rep,Swing
Adams County,IA,3892,0.22,99.6,0.391,0.151,48043,0.67,Rep,Swing
Allamakee County,IA,14060,0.208,104,0.421,0.163,45890,0.6,Rep,Swing
Appanoose County,IA,12669,0.212,99,0.363,0.176,41394,0.66,Rep,Swing
Audubon County,IA,5869,0.239,94.9,0.423,0.143,46979,0.63,Rep,Swing
Benton County,IA,25803,0.163,99.8,0.364,0.216,60606,0.6,Rep,Swing
Black Hawk County,IA,132496,0.145,95.5,0.327,0.27,48369,0.43,Rep,Swing
Boone County,IA,26401,0.168,100.7,0.348,0.233,52985,0.53,Rep,Swing
Bremer County,IA,24539,0.181,97.3,0.334,0.286,62163,0.54,Rep,Swing
Buchanan County,IA,20998,0.163,98.6,0.429,0.168,56150,0.54,Rep,Swing
Buena Vista County,IA,20507,0.145,105.3,0.31,0.189,48195,0.6,Rep,Swing
Butler County,IA,14966,0.206,98.6,0.408,0.152,52360,0.66,Rep,Swing
Calhoun County,IA,9914,0.226,104.5,0.37,0.184,44921,0.68,Rep,Swing
Carroll County,IA,20629,0.189,95.3,0.406,0.201,50559,0.64,Rep,Swing
Cass County,IA,13590,0.213,96.1,0.443,0.198,43750,0.67,Rep,Swing
Cedar County,IA,18375,0.178,96.3,0.37,0.216,59047,0.56,Rep,Swing
Cerro Gordo County,IA,43481,0.191,95.9,0.318,0.221,46122,0.51,Rep,Swing
Cherokee County,IA,11853,0.221,99.8,0.356,0.189,48599,0.68,Rep,Swing
Chickasaw County,IA,12244,0.191,100.9,0.432,0.15,47040,0.59,Rep,Swing
Clarke County,IA,9280,0.177,102,0.446,0.139,43327,0.61,Rep,Swing
Clay County,IA,16537,0.192,96.8,0.369,0.194,50389,0.69,Rep,Swing
Clayton County,IA,17806,0.203,99.8,0.445,0.168,48007,0.58,Rep,Swing
Clinton County,IA,48365,0.177,96.8,0.363,0.195,50498,0.49,Rep,Swing
Crawford County,IA,17252,0.171,101.4,0.358,0.135,48084,0.67,Rep,Swing
Dallas County,IA,74892,0.109,96.1,0.211,0.443,76320,0.51,Rep,Swing
Davis County,IA,8742,0.174,96.6,0.374,0.168,48888,0.71,Rep,Swing
Decatur County,IA,8249,0.184,99.5,0.386,0.198,38560,0.62,Rep,Swing
Delaware County,IA,17507,0.176,99.5,0.441,0.148,58274,0.62,Rep,Swing
Des Moines County,IA,40208,0.186,95.2,0.356,0.2,44423,0.51,Rep,Swing
Dickinson County,IA,16967,0.236,100.2,0.296,0.274,57265,0.66,Rep,Swing
Dubuque County,IA,95906,0.159,97.7,0.354,0.287,54605,0.48,Rep,Swing
Emmet County,IA,9917,0.192,97.2,0.346,0.163,47795,0.66,Rep,Swing
Fayette County,IA,20589,0.201,100.8,0.395,0.185,44928,0.57,Rep,Swing
Floyd County,IA,16050,0.207,98.3,0.355,0.182,44797,0.55,Rep,Swing
Franklin County,IA,10489,0.194,99.9,0.381,0.167,48605,0.64,Rep,Swing
Fremont County,IA,7106,0.209,98.3,0.364,0.215,53324,0.68,Rep,Swing
Greene County,IA,9174,0.211,95.5,0.357,0.186,46898,0.59,Rep,Swing
Grundy County,IA,12407,0.196,96.6,0.353,0.227,56750,0.67,Rep,Swing
Guthrie County,IA,10740,0.21,98.1,0.393,0.192,51013,0.64,Rep,Swing
Hamilton County,IA,15297,0.192,95.4,0.332,0.2,49813,0.59,Rep,Swing
Hancock County,IA,11092,0.198,101.1,0.364,0.181,52981,0.68,Rep,Swing
Hardin County,IA,17393,0.213,98.5,0.349,0.182,51019,0.62,Rep,Swing
Harrison County,IA,14467,0.186,98.3,0.381,0.174,53567,0.66,Rep,Swing
Henry County,IA,20080,0.171,104.4,0.373,0.188,49321,0.62,Rep,Swing
Howard County,IA,9494,0.198,98.1,0.44,0.128,49869,0.58,Rep,Swing
Humboldt County,IA,9674,0.205,95.3,0.371,0.176,47252,0.71,Rep,Swing
Ida County,IA,7071,0.214,101.5,0.401,0.193,46993,0.74,Rep,Swing
Iowa County,IA,16344,0.176,98.2,0.384,0.207,59375,0.59,Rep,Swing
Jackson County,IA,19572,0.196,98.9,0.448,0.153,49028,0.57,Rep,Swing
Jasper County,IA,36726,0.176,103.9,0.397,0.181,55033,0.56,Rep,Swing
Jefferson County,IA,17318,0.174,107.7,0.304,0.319,42899,0.47,Rep,Swing
Johnson County,IA,139436,0.095,98.9,0.171,0.514,55700,0.28,Rep,Swing
Jones County,IA,20560,0.181,108,0.396,0.166,55060,0.57,Rep,Swing
Keokuk County,IA,10291,0.201,101.3,0.428,0.155,43838,0.7,Rep,Swing
Kossuth County,IA,15280,0.222,99.7,0.38,0.191,51496,0.66,Rep,Swing
Lee County,IA,35369,0.182,100.9,0.417,0.155,43312,0.55,Rep,Swing
Linn County,IA,216640,0.14,97.3,0.272,0.315,59322,0.42,Rep,Swing
Louisa County,IA,11271,0.162,104.2,0.373,0.132,51144,0.62,Rep,Swing
Lucas County,IA,8731,0.215,100.5,0.449,0.15,43962,0.67,Rep,Swing
Lyon County,IA,11723,0.167,103.1,0.371,0.208,57130,0.82,Rep,Swing
Madison County,IA,15644,0.156,99.3,0.389,0.216,60060,0.63,Rep,Swing
Mahaska County,IA,22396,0.168,100.1,0.376,0.228,48726,0.71,Rep,Swing
Marion County,IA,33248,0.163,98.8,0.357,0.248,54693,0.62,Rep,Swing
Marshall County,IA,40962,0.169,102.5,0.329,0.197,53351,0.52,Rep,Swing
Mills County,IA,14862,0.151,102.1,0.359,0.238,63979,0.66,Rep,Swing
Mitchell County,IA,10762,0.215,98.5,0.442,0.149,49488,0.59,Rep,Swing
Monona County,IA,9088,0.243,98.9,0.433,0.145,40302,0.69,Rep,Swing
Monroe County,IA,8002,0.187,107.2,0.448,0.172,46304,0.69,Rep,Swing
Montgomery County,IA,10465,0.207,92.7,0.376,0.15,42418,0.69,Rep,Swing
Muscatine County,IA,42913,0.149,99.6,0.35,0.188,53676,0.5,Rep,Swing
O'Brien County,IA,14092,0.206,100.1,0.377,0.188,55227,0.78,Rep,Swing
Osceola County,IA,6211,0.2,100.8,0.376,0.174,49448,0.79,Rep,Swing
Page County,IA,15660,0.2,106.4,0.347,0.2,43912,0.7,Rep,Swing
Palo Alto County,IA,9208,0.21,100.6,0.309,0.2,47113,0.66,Rep,Swing
Plymouth County,IA,24853,0.175,97.5,0.356,0.205,57130,0.74,Rep,Swing
Pocahontas County,IA,7127,0.223,99.1,0.389,0.175,45069,0.7,Rep,Swing
Polk County,IA,452369,0.115,96.8,0.253,0.358,60061,0.41,Rep,Swing
Pottawattamie County,IA,93213,0.152,97.2,0.349,0.202,51976,0.58,Rep,Swing
Poweshiek County,IA,18705,0.19,92.5,0.368,0.246,51006,0.51,Rep,Swing
Ringgold County,IA,5061,0.247,95.6,0.355,0.207,47042,0.68,Rep,Swing
Sac County,IA,10101,0.223,96.7,0.393,0.197,49572,0.72,Rep,Swing
Scott County,IA,169994,0.14,96.4,0.283,0.321,55114,0.46,Rep,Swing
Shelby County,IA,11992,0.223,96.4,0.368,0.213,50952,0.69,Rep,Swing
Sioux County,IA,34509,0.143,101.7,0.319,0.255,61627,0.82,Rep,Swing
Story County,IA,93586,0.104,107.8,0.188,0.483,50438,0.39,Rep,Swing
Tama County,IA,17479,0.191,97.7,0.41,0.158,55203,0.58,Rep,Swing
Taylor County,IA,6213,0.207,101.9,0.42,0.145,44246,0.7,Rep,Swing
Union County,IA,12575,0.185,91.7,0.4,0.147,44351,0.61,Rep,Swing
Van Buren County,IA,7432,0.204,104.6,0.435,0.127,45111,0.72,Rep,Swing
Wapello County,IA,35315,0.165,97.3,0.367,0.168,42095,0.58,Rep,Swing
Warren County,IA,47542,0.143,96.3,0.326,0.281,64447,0.55,Rep,Swing
Washington County,IA,22017,0.181,97.1,0.358,0.21,56390,0.57,Rep,Swing
Wayne County,IA,6384,0.226,93.9,0.435,0.139,43358,0.71,Rep,Swing
Webster County,IA,37295,0.17,106,0.325,0.188,42408,0.58,Rep,Swing
Winnebago County,IA,10614,0.2,96.8,0.351,0.205,47668,0.6,Rep,Swing
Winneshiek County,IA,20884,0.177,98.9,0.351,0.277,54429,0.48,Rep,Swing
Woodbury County,IA,102530,0.136,96.9,0.342,0.211,46720,0.57,Rep,Swing
Worth County,IA,7563,0.194,97.2,0.366,0.154,48459,0.58,Rep,Swing
Wright County,IA,12936,0.21,99.3,0.375,0.17,43698,0.64,Rep,Swing
Allen County,KS,13081,0.189,97,0.334,0.182,38698,0.67,Rep,Rep
Anderson County,KS,7896,0.205,98.6,0.391,0.165,40696,0.73,Rep,Rep
Atchison County,KS,16633,0.156,92.2,0.41,0.199,43581,0.62,Rep,Rep
Barber County,KS,4770,0.203,100.9,0.366,0.202,51811,0.82,Rep,Rep
Barton County,KS,27399,0.173,94.4,0.339,0.169,44013,0.77,Rep,Rep
Bourbon County,KS,14812,0.179,97.8,0.312,0.221,38280,0.73,Rep,Rep
Brown County,KS,9880,0.186,94.8,0.398,0.198,43724,0.72,Rep,Rep
Butler County,KS,66092,0.135,100.9,0.268,0.279,58897,0.69,Rep,Rep
Chase County,KS,2722,0.23,98.1,0.335,0.243,38707,0.72,Rep,Rep
Chautauqua County,KS,3520,0.256,105.1,0.361,0.175,37993,0.84,Rep,Rep
Cherokee County,KS,20952,0.173,97.4,0.346,0.174,41388,0.72,Rep,Rep
Cheyenne County,KS,2682,0.267,101.7,0.315,0.223,44500,0.83,Rep,Rep
Clark County,KS,2145,0.215,96.8,0.261,0.297,42589,0.83,Rep,Rep
Clay County,KS,8421,0.214,96.9,0.337,0.237,52066,0.76,Rep,Rep
Cloud County,KS,9339,0.211,99.2,0.342,0.175,39282,0.75,Rep,Rep
Coffey County,KS,8458,0.19,100.8,0.368,0.21,57433,0.75,Rep,Rep
Comanche County,KS,2010,0.249,103,0.284,0.239,45288,0.82,Rep,Rep
Cowley County,KS,36079,0.167,101.6,0.305,0.192,43860,0.66,Rep,Rep
Crawford County,KS,39304,0.145,100.8,0.282,0.286,36534,0.58,Rep,Rep
Decatur County,KS,2905,0.273,100.3,0.376,0.266,40657,0.84,Rep,Rep
Dickinson County,KS,19516,0.181,99.1,0.36,0.201,49096,0.74,Rep,Rep
Doniphan County,KS,7859,0.168,103.2,0.387,0.165,47209,0.77,Rep,Rep
Douglas County,KS,114967,0.101,100,0.2,0.491,50939,0.3,Rep,Rep
Edwards County,KS,2991,0.199,104.4,0.307,0.187,47303,0.79,Rep,Rep
Elk County,KS,2683,0.271,99.6,0.353,0.175,36458,0.83,Rep,Rep
Ellis County,KS,28993,0.139,99.4,0.277,0.324,45579,0.71,Rep,Rep
Ellsworth County,KS,6410,0.192,130.6,0.322,0.212,47736,0.74,Rep,Rep
Finney County,KS,37133,0.092,103.5,0.231,0.185,49227,0.63,Rep,Rep
Ford County,KS,34714,0.103,106.5,0.23,0.179,50777,0.67,Rep,Rep
Franklin County,KS,25753,0.154,96.9,0.361,0.212,51081,0.66,Rep,Rep
Geary County,KS,36787,0.074,108.8,0.298,0.203,43992,0.58,Rep,Rep
Gove County,KS,2735,0.241,102.6,0.377,0.214,46364,0.85,Rep,Rep
Graham County,KS,2593,0.257,94.2,0.327,0.265,43826,0.8,Rep,Rep
Grant County,KS,7816,0.099,102.5,0.289,0.182,55432,0.76,Rep,Rep
Gray County,KS,6065,0.14,96.9,0.256,0.191,61000,0.82,Rep,Rep
Greeley County,KS,1224,0.223,99.7,0.303,0.255,47750,0.82,Rep,Rep
Greenwood County,KS,6393,0.231,95.3,0.401,0.165,38838,0.76,Rep,Rep
Hamilton County,KS,2586,0.144,107.9,0.348,0.134,45114,0.81,Rep,Rep
Harper County,KS,5861,0.214,101.6,0.366,0.197,43973,0.78,Rep,Rep
Harvey County,KS,34835,0.178,95.6,0.296,0.265,51327,0.58,Rep,Rep
Haskell County,KS,4130,0.132,101.3,0.209,0.178,56484,0.78,Rep,Rep
Hodgeman County,KS,1939,0.233,100.5,0.259,0.236,54856,0.84,Rep,Rep
Jackson County,KS,13400,0.17,99,0.406,0.187,54077,0.68,Rep,Rep
Jefferson County,KS,18898,0.17,103.5,0.407,0.195,57236,0.63,Rep,Rep
Jewell County,KS,3038,0.275,99.6,0.394,0.154,40553,0.81,Rep,Rep
Johnson County,KS,566814,0.122,95.8,0.152,0.529,76113,0.48,Rep,Rep
Kearny County,KS,3952,0.137,116.3,0.234,0.172,50506,0.79,Rep,Rep
Kingman County,KS,7790,0.209,101.6,0.348,0.205,50844,0.76,Rep,Rep
Kiowa County,KS,2536,0.191,96.4,0.269,0.274,43963,0.84,Rep,Rep
Labette County,KS,21048,0.174,97.3,0.331,0.195,41439,0.66,Rep,Rep
Lane County,KS,1674,0.213,95.3,0.297,0.214,56507,0.82,Rep,Rep
Leavenworth County,KS,78227,0.123,114.8,0.309,0.289,63726,0.59,Rep,Rep
Lincoln County,KS,3154,0.207,98.6,0.323,0.203,44276,0.81,Rep,Rep
Linn County,KS,9528,0.201,95.7,0.372,0.149,46964,0.79,Rep,Rep
Logan County,KS,2793,0.205,101.4,0.355,0.182,46875,0.83,Rep,Rep
Lyon County,KS,33462,0.132,94.5,0.334,0.256,40021,0.54,Rep,Rep
McPherson County,KS,29252,0.187,98.4,0.291,0.274,56128,0.68,Rep,Rep
Marion County,KS,12290,0.22,98.1,0.364,0.226,45927,0.72,Rep,Rep
Marshall County,KS,10005,0.211,99.8,0.448,0.167,45374,0.71,Rep,Rep
Meade County,KS,4383,0.175,106.3,0.311,0.222,52250,0.83,Rep,Rep
Miami County,KS,32688,0.147,97,0.325,0.233,60966,0.67,Rep,Rep
Mitchell County,KS,6296,0.224,103.9,0.34,0.257,48217,0.78,Rep,Rep
Montgomery County,KS,34184,0.179,97.2,0.321,0.171,41083,0.73,Rep,Rep
Morris County,KS,5750,0.232,98.6,0.357,0.176,47089,0.7,Rep,Rep
Morton County,KS,3106,0.171,113,0.325,0.139,46028,0.84,Rep,Rep
Nemaha County,KS,10159,0.201,101.1,0.419,0.226,48653,0.81,Rep,Rep
Neosho County,KS,16423,0.179,96.3,0.336,0.186,43195,0.71,Rep,Rep
Ness County,KS,3077,0.251,103,0.359,0.198,44904,0.85,Rep,Rep
Norton County,KS,5590,0.194,132.1,0.346,0.174,47852,0.83,Rep,Rep
Osage County,KS,16080,0.18,99.5,0.405,0.194,49915,0.68,Rep,Rep
Osborne County,KS,3782,0.25,98.2,0.363,0.206,40216,0.82,Rep,Rep
Ottawa County,KS,6048,0.178,107.5,0.329,0.214,52479,0.79,Rep,Rep
Pawnee County,KS,6911,0.18,134.7,0.28,0.217,43250,0.72,Rep,Rep
Phillips County,KS,5501,0.21,95.4,0.353,0.215,44170,0.84,Rep,Rep
Pottawatomie County,KS,22625,0.128,98.2,0.312,0.322,60216,0.72,Rep,Rep
Pratt County,KS,9739,0.178,100.1,0.265,0.259,49550,0.74,Rep,Rep
Rawlins County,KS,2545,0.268,103.3,0.308,0.251,41579,0.83,Rep,Rep
Reno County,KS,64058,0.176,101.5,0.286,0.202,45288,0.64,Rep,Rep
Republic County,KS,4806,0.272,96.1,0.351,0.2,40449,0.8,Rep,Rep
Rice County,KS,10014,0.176,101.9,0.305,0.212,48460,0.74,Rep,Rep
Riley County,KS,75022,0.077,114.2,0.174,0.45,44437,0.48,Rep,Rep
Rooks County,KS,5186,0.201,95.8,0.368,0.22,43558,0.84,Rep,Rep
Rush County,KS,3184,0.239,100.1,0.33,0.217,38854,0.8,Rep,Rep
Russell County,KS,6988,0.232,101.3,0.328,0.24,41102,0.81,Rep,Rep
Saline County,KS,55735,0.154,97.7,0.335,0.234,47801,0.63,Rep,Rep
Scott County,KS,4928,0.187,94.9,0.334,0.205,51850,0.85,Rep,Rep
Sedgwick County,KS,506529,0.124,98.2,0.268,0.294,50657,0.56,Rep,Rep
Seward County,KS,23274,0.086,103.5,0.248,0.118,47134,0.64,Rep,Rep
Shawnee County,KS,178792,0.155,94.3,0.311,0.289,50378,0.48,Rep,Rep
Sheridan County,KS,2531,0.227,109.2,0.338,0.216,49750,0.87,Rep,Rep
Sherman County,KS,6054,0.185,94,0.333,0.141,39029,0.81,Rep,Rep
Smith County,KS,3740,0.267,96.3,0.353,0.181,43848,0.81,Rep,Rep
Stafford County,KS,4320,0.203,100.1,0.287,0.219,47377,0.79,Rep,Rep
Stanton County,KS,2149,0.154,85.9,0.274,0.222,43780,0.78,Rep,Rep
Stevens County,KS,5772,0.126,102.4,0.356,0.154,55433,0.84,Rep,Rep
Sumner County,KS,23638,0.167,97.9,0.359,0.199,50141,0.72,Rep,Rep
Thomas County,KS,7925,0.15,96.9,0.289,0.283,48504,0.81,Rep,Rep
Trego County,KS,2951,0.228,94.7,0.332,0.25,54000,0.83,Rep,Rep
Wabaunsee County,KS,6997,0.171,103.5,0.389,0.229,54688,0.71,Rep,Rep
Wallace County,KS,1595,0.196,97.9,0.329,0.252,47279,0.91,Rep,Rep
Washington County,KS,5686,0.236,103,0.38,0.17,45159,0.8,Rep,Rep
Wichita County,KS,2204,0.172,109.1,0.296,0.162,57171,0.82,Rep,Rep
Wilson County,KS,9061,0.2,97.7,0.368,0.147,40306,0.79,Rep,Rep
Woodson County,KS,3211,0.224,100.1,0.388,0.159,35787,0.75,Rep,Rep
Wyandotte County,KS,160806,0.111,97.6,0.329,0.159,40113,0.33,Rep,Rep
Adair County,KY,18852,0.167,97.5,0.363,0.159,33362,0.81,Rep,Rep
Allen County,KY,20355,0.156,96.8,0.36,0.136,41326,0.8,Rep,Rep
Anderson County,KY,21761,0.135,95,0.388,0.189,53974,0.72,Rep,Rep
Ballard County,KY,8256,0.19,98.6,0.394,0.137,42244,0.77,Rep,Rep
Barren County,KY,42925,0.165,94.8,0.415,0.155,38370,0.73,Rep,Rep
Bath County,KY,11978,0.156,98.6,0.392,0.122,33483,0.67,Rep,Rep
Bell County,KY,27950,0.169,94.5,0.356,0.098,22443,0.8,Rep,Rep
Boone County,KY,124617,0.105,97.5,0.281,0.308,66730,0.68,Rep,Rep
Bourbon County,KY,20013,0.167,97.5,0.367,0.16,45208,0.63,Rep,Rep
Boyd County,KY,48917,0.175,98.2,0.359,0.177,42319,0.66,Rep,Rep
Boyle County,KY,29388,0.175,98.8,0.35,0.226,39704,0.62,Rep,Rep
Bracken County,KY,8425,0.149,99.5,0.434,0.14,36327,0.77,Rep,Rep
Breathitt County,KY,13591,0.149,101,0.343,0.113,25817,0.7,Rep,Rep
Breckinridge County,KY,20061,0.169,98.3,0.44,0.096,43479,0.74,Rep,Rep
Bullitt County,KY,76961,0.13,97.8,0.408,0.143,55975,0.73,Rep,Rep
Butler County,KY,12835,0.17,101,0.433,0.088,33536,0.79,Rep,Rep
Caldwell County,KY,12826,0.184,93.3,0.449,0.164,42537,0.75,Rep,Rep
Calloway County,KY,38106,0.155,93.2,0.316,0.275,37034,0.65,Rep,Rep
Campbell County,KY,91475,0.136,96.2,0.31,0.291,54621,0.59,Rep,Rep
Carlisle County,KY,4984,0.195,93,0.382,0.133,38829,0.81,Rep,Rep
Carroll County,KY,10830,0.146,106.7,0.44,0.113,41439,0.67,Rep,Rep
Carter County,KY,27326,0.158,97.7,0.414,0.128,36696,0.74,Rep,Rep
Casey County,KY,15954,0.183,97,0.374,0.112,32341,0.85,Rep,Rep
Christian County,KY,74159,0.108,110.3,0.327,0.167,39521,0.64,Rep,Rep
Clark County,KY,35657,0.158,96,0.352,0.207,47959,0.66,Rep,Rep
Clay County,KY,21300,0.132,115.5,0.369,0.095,21549,0.87,Rep,Rep
Clinton County,KY,10188,0.175,98.4,0.362,0.096,28025,0.86,Rep,Rep
Crittenden County,KY,9222,0.19,100.6,0.379,0.114,35316,0.82,Rep,Rep
Cumberland County,KY,6807,0.198,94.8,0.391,0.134,32019,0.82,Rep,Rep
Daviess County,KY,98173,0.156,94.1,0.378,0.203,45989,0.63,Rep,Rep
Edmonson County,KY,12105,0.184,100.8,0.421,0.133,41710,0.79,Rep,Rep
Elliott County,KY,7725,0.178,128.6,0.42,0.075,28224,0.7,Rep,Rep
Estill County,KY,14476,0.169,96.7,0.486,0.078,29770,0.76,Rep,Rep
Fayette County,KY,308306,0.113,96.6,0.206,0.412,49778,0.42,Rep,Rep
Fleming County,KY,14544,0.158,97.5,0.389,0.128,35469,0.76,Rep,Rep
Floyd County,KY,38649,0.151,97.2,0.347,0.128,30096,0.73,Rep,Rep
Franklin County,KY,49778,0.154,95.2,0.318,0.27,47964,0.5,Rep,Rep
Fulton County,KY,6422,0.186,97.4,0.348,0.131,28359,0.65,Rep,Rep
Gallatin County,KY,8567,0.119,100.3,0.442,0.101,48370,0.73,Rep,Rep
Garrard County,KY,16976,0.161,96.4,0.388,0.151,44243,0.78,Rep,Rep
Grant County,KY,24670,0.123,98.5,0.448,0.124,44824,0.76,Rep,Rep
Graves County,KY,37502,0.168,94.9,0.367,0.173,39530,0.76,Rep,Rep
Grayson County,KY,26001,0.157,99.2,0.422,0.091,35030,0.78,Rep,Rep
Green County,KY,11149,0.199,95.8,0.46,0.102,34982,0.82,Rep,Rep
Greenup County,KY,36477,0.184,94.4,0.374,0.169,45370,0.71,Rep,Rep
Hancock County,KY,8669,0.159,105.4,0.468,0.112,50476,0.65,Rep,Rep
Hardin County,KY,107529,0.117,99.6,0.321,0.232,50765,0.63,Rep,Rep
Harlan County,KY,28400,0.158,95.6,0.356,0.117,25814,0.85,Rep,Rep
Harrison County,KY,18648,0.163,95.4,0.425,0.14,35681,0.7,Rep,Rep
Hart County,KY,18441,0.159,97.6,0.413,0.104,34774,0.73,Rep,Rep
Henderson County,KY,46396,0.154,93.8,0.366,0.168,41036,0.62,Rep,Rep
Henry County,KY,15455,0.155,99.2,0.446,0.111,46495,0.69,Rep,Rep
Hickman County,KY,4720,0.228,90.7,0.412,0.092,41218,0.77,Rep,Rep
Hopkins County,KY,46518,0.166,94.5,0.395,0.152,42346,0.75,Rep,Rep
Jackson County,KY,13357,0.15,99.2,0.434,0.097,29826,0.89,Rep,Rep
Jefferson County,KY,755809,0.141,93.3,0.275,0.315,48695,0.41,Rep,Rep
Jessamine County,KY,50328,0.13,95.9,0.289,0.289,50558,0.66,Rep,Rep
Johnson County,KY,23350,0.157,95.5,0.373,0.108,35570,0.84,Rep,Rep
Kenton County,KY,163007,0.122,97.4,0.294,0.289,54296,0.6,Rep,Rep
Knott County,KY,16000,0.149,98.6,0.351,0.123,30411,0.76,Rep,Rep
Knox County,KY,31809,0.162,94.9,0.407,0.11,26599,0.82,Rep,Rep
Larue County,KY,14149,0.166,96.5,0.431,0.103,38578,0.75,Rep,Rep
Laurel County,KY,59751,0.142,96.1,0.379,0.123,36020,0.83,Rep,Rep
Lawrence County,KY,15821,0.152,98.1,0.415,0.119,35935,0.8,Rep,Rep
Lee County,KY,7119,0.155,111.4,0.425,0.079,22698,0.81,Rep,Rep
Leslie County,KY,10997,0.157,97.5,0.338,0.086,25872,0.89,Rep,Rep
Letcher County,KY,23671,0.161,96.6,0.361,0.118,30333,0.8,Rep,Rep
Lewis County,KY,13790,0.163,100.1,0.422,0.109,28630,0.82,Rep,Rep
Lincoln County,KY,24498,0.164,93.3,0.445,0.107,37139,0.77,Rep,Rep
Livingston County,KY,9394,0.195,97.4,0.469,0.103,42171,0.77,Rep,Rep
Logan County,KY,26851,0.167,97.9,0.403,0.133,38570,0.71,Rep,Rep
Lyon County,KY,8402,0.225,120.3,0.39,0.179,46931,0.7,Rep,Rep
McCracken County,KY,65408,0.178,91.9,0.313,0.23,44067,0.66,Rep,Rep
McCreary County,KY,18001,0.133,121.2,0.405,0.07,19328,0.87,Rep,Rep
McLean County,KY,9500,0.182,97.9,0.399,0.109,40770,0.74,Rep,Rep
Madison County,KY,85838,0.124,94.2,0.295,0.286,42390,0.63,Rep,Rep
Magoffin County,KY,12979,0.144,100.8,0.378,0.085,28500,0.75,Rep,Rep
Marion County,KY,19717,0.149,102.8,0.448,0.134,38826,0.63,Rep,Rep
Marshall County,KY,31181,0.207,96.8,0.41,0.158,45212,0.74,Rep,Rep
Martin County,KY,12631,0.129,125.1,0.395,0.065,25795,0.89,Rep,Rep
Mason County,KY,17296,0.158,96,0.383,0.16,38824,0.69,Rep,Rep
Meade County,KY,29098,0.117,101.7,0.398,0.148,49884,0.71,Rep,Rep
Menifee County,KY,6343,0.172,107,0.391,0.107,31503,0.72,Rep,Rep
Mercer County,KY,21342,0.172,97.5,0.388,0.188,42083,0.73,Rep,Rep
Metcalfe County,KY,9985,0.18,98,0.409,0.116,32294,0.76,Rep,Rep
Monroe County,KY,10765,0.179,98.6,0.418,0.141,31045,0.86,Rep,Rep
Montgomery County,KY,27167,0.144,96.9,0.391,0.171,39275,0.69,Rep,Rep
Morgan County,KY,13428,0.145,125.6,0.362,0.117,29707,0.76,Rep,Rep
Muhlenberg County,KY,31309,0.175,102.9,0.421,0.104,38961,0.72,Rep,Rep
Nelson County,KY,44564,0.128,97.7,0.42,0.162,49298,0.65,Rep,Rep
Nicholas County,KY,7075,0.171,95.1,0.407,0.112,36097,0.69,Rep,Rep
Ohio County,KY,24065,0.164,99.3,0.428,0.097,40189,0.76,Rep,Rep
Oldham County,KY,63037,0.111,112,0.23,0.394,85452,0.62,Rep,Rep
Owen County,KY,10711,0.163,96.4,0.47,0.122,41934,0.75,Rep,Rep
Owsley County,KY,4616,0.162,87.6,0.346,0.166,20985,0.84,Rep,Rep
Pendleton County,KY,14514,0.14,99.5,0.479,0.108,48353,0.77,Rep,Rep
Perry County,KY,28041,0.146,97.6,0.322,0.14,32667,0.77,Rep,Rep
Pike County,KY,63434,0.155,95.7,0.364,0.133,33183,0.8,Rep,Rep
Powell County,KY,12447,0.139,96.5,0.407,0.13,29736,0.71,Rep,Rep
Pulaski County,KY,63635,0.173,95.9,0.412,0.144,34790,0.82,Rep,Rep
